i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7155989222858189;4.63995168798892;3.1308031685431073;1.4284553035332024;3.1050763974988875;-0.033376216888427734;0.4841226637363434;0.07599222660064697;0.4852718056893023;-0.06883273838987299;1.4284553035332024;0.47698269602735405;0.4721587837368327;0.0676651701370659;0.013839661485255533;0.49088918075004995;0.4919683337211609;-0.0017733341082930565;0.12577010691165924;0.4919715297639033;1.5744008808007934;3.1050763974988875;0.1862747918395395;0.006800546416953713;-0.18615061279322886;0.49264838836285624;-0.020388395387615943;-0.5107740163803101;-0.003669939236715436;0.11884653568267822;0.5107872005671975;-1.5779812578356882;0.046698861290705086;0.8205321248679147;0.038303990221586745;0.8196375859325631;-0.5069436173581514;0.07829381935654087;
1;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7160530958662923;4.64362642593047;3.133867202937558;1.4307715511183423;3.112254385192982;-0.03296786919236183;0.48443931341171265;0.08810582756996155;0.48555980968146056;-0.06794889376826647;1.4307715511183423;0.4781465988613739;0.47346675749756634;0.06673379614138797;0.014378806557394805;0.4911126930258514;0.49396762251853943;-0.0004019221232738346;0.13957324624061584;0.4939677860326637;1.57160998748085;3.112254385192982;0.18621549768492762;0.005462456551689243;-0.18613536242870724;0.49451386817370835;-0.019015458366144558;-0.5082096457481384;-0.0035126942675560713;0.13773289322853088;0.5082217852989634;-1.5777081167611795;0.034174002721908694;0.820253190699265;0.028025878966262133;0.8197742658564571;-0.5054070578515122;0.07846473231808963;
2;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7164515669592145;4.6731530875718725;3.161676987943138;1.4394636989480318;3.148302078570561;-0.032256774604320526;0.48590317368507385;0.10575044900178909;0.48697268270930866;-0.06628792755312132;1.4394636989480318;0.4875172303521681;0.48331885834922234;0.06384301883724855;0.016075111230601707;0.4922874755687987;0.5065694451332092;0.01370707806199789;0.14919868111610413;0.5067548586166345;1.5437442920545918;3.148302078570561;0.1860489819665308;-0.0012482723217525037;-0.18604479435607235;0.506444617901034;-0.004897401373609344;-0.5043272376060486;-0.003514057956635952;0.15717612206935883;0.5043394801070707;-1.5777640271818707;0.014726296229402275;0.8176857988226384;0.012041048073784684;0.8175971371999178;-0.5031231327986702;0.07824565576335582;
3;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7204079088216686;4.674956973223725;3.172030980808112;1.4537517149164707;3.176031593451359;-0.029336510226130486;0.4877129793167114;0.13345088064670563;0.48859449549317563;-0.06007878945849062;1.4537517149164707;0.4880905822981979;0.48475111320718156;0.056998024286743124;0.01913860109458767;0.4934127817453857;0.511298418045044;0.011581243947148323;0.16100941598415375;0.5114295626053776;1.548149544497371;3.176031593451359;0.18688085227892953;-0.00643470628642452;-0.18677003909488946;0.5106549474164015;-0.007095759962340624;-0.5014320015907288;0.003907009027898312;0.17932787537574768;0.501447222485905;-1.5630047818740995;0.01502753105681617;0.8167132090137623;0.012272721182796476;0.8166209929289884;-0.5002047294724491;0.08556910832079714;
4;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7166683386656573;4.6917421190499375;3.1915011137013365;1.4708669847036315;3.1822878054966597;-0.023128772154450417;0.488911896944046;0.16002820432186127;0.4894586632952756;-0.047271383670654754;1.4708669847036315;0.4934288335595218;0.49096722409149957;0.04922599573190471;0.025967950254699543;0.4938344965172365;0.5133023262023926;0.01366965938359499;0.18763945996761322;0.5134843110285366;1.5441718044589943;3.1822878054966597;0.18714344001016742;-0.007613728803287554;-0.18698849770119316;0.5125409533220638;-0.005029190386524326;-0.4985574185848236;0.011610478162765503;0.19750694930553436;0.4986925935174204;-1.5475123890192575;0.01674699847557086;0.8148591856682212;0.013645807664329818;0.814744919837531;-0.49719283781839063;0.09308497014651859;
5;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7141151839073995;4.70568007066289;3.2132052521732346;1.4972091501069158;3.196934859109191;-0.013759917579591274;0.49069029092788696;0.188644140958786;0.49088318054572977;-0.02803461332721344;1.4972091501069158;0.4978645197485966;0.49651714167280153;0.0366033884984966;0.03589179658768888;0.49435062977773664;0.5152465105056763;0.010989660397171974;0.20495957136154175;0.5153636960670795;1.5494706231894833;3.196934859109191;0.18790663680773795;-0.010393860166873731;-0.18761895380591645;0.5142071244889889;-0.0077722349834196715;-0.4958193898200989;0.024954255670309067;0.21325160562992096;0.49644695809082595;-1.5205094318168668;0.032523553994194855;0.81275298117389;0.026428955548430492;0.8123231615038837;-0.49317649426525584;0.10618657182069743;
6;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7094180191099252;4.721384897826983;3.23149771830426;1.5192704385104292;3.2142728725203056;-0.0017017051577568054;0.4903784990310669;0.2105647474527359;0.4903814516398495;-0.0034701732037829753;1.5192704385104292;0.5028634122168365;0.5021960295382535;0.02589902049062223;0.04851789779606854;0.4929684010801291;0.5170303583145142;0.00644568121060729;0.2184470146894455;0.5170705350579393;1.5583302361488207;3.2142728725203056;0.18816214804003395;-0.013663629204755333;-0.1876653915669978;0.5156639953940386;-0.01232085794609249;-0.493007093667984;0.03825446218252182;0.2240484058856964;0.4944890274655509;-1.4933573527265058;0.04989108208522791;0.810944789067793;0.040442130611359116;0.8099357289241049;-0.4889628806068481;0.11924803507493231;
7;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7049499645599413;4.736483234991173;3.250084348425666;1.5416579288901486;3.2288572074853996;0.00946298148483038;0.4902131259441376;0.2234622985124588;0.4903044532395205;0.019301413665670147;1.5416579288901486;0.5076679558370433;0.5074524543026335;0.014790537718276483;0.060208226915093734;0.49169217971596524;0.5184577107429504;0.002484904369339347;0.22674009203910828;0.5184636656300474;1.5660034858540839;3.2288572074853996;0.18850756246787437;-0.016429158184416228;-0.1877902656394388;0.5168147949245088;-0.01629412219460453;-0.49042409658432007;0.051039498299360275;0.2326366901397705;0.49307283934242097;-1.4670974728998352;0.06907689079855792;0.8090758224967103;0.055844006469160275;0.8071462900182349;-0.48483969593740406;0.13175412730118377;
8;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.6999057915084355;4.753796543742475;3.2706721397729117;1.5685524223704999;3.245118067303205;0.022190580144524574;0.4899904727935791;0.23434250056743622;0.4904926964549276;0.04525685535542627;1.5685524223704999;0.5131729115208815;0.5131716195811472;0.0011515100003123514;0.0735077421026393;0.49010562379361033;0.5199976563453674;-0.0020016327034682035;0.2367449551820755;0.5200015087844981;1.5746456187925368;3.245118067303205;0.18883282229484272;-0.019514095327477676;-0.1878218167822518;0.5180462468126197;-0.020783814381693383;-0.4869583547115326;0.06511475890874863;0.2425074279308319;0.4912925513898081;-1.4378675486141381;0.08941901204572181;0.8069674832349933;0.07206211355529012;0.8037434732478789;-0.4797521433560036;0.1454891062335365;
9;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.6952114770691077;4.770580399374408;3.293541170378817;1.5919326482039102;3.258545643174195;0.032843127846717834;0.48972803354263306;0.2425658255815506;0.4908280940250774;0.0669637427849718;1.5919326482039102;0.518502038658293;0.5183862241111907;-0.010958409763662245;0.0846817502578369;0.48863219256626683;0.5217008590698242;-0.0045766462571918964;0.24517641961574554;0.5217209331099875;1.57956865059015;3.258545643174195;0.18943990215946355;-0.022105090130049285;-0.18814579857262165;0.5194903500568193;-0.023391226114454062;-0.4837876558303833;0.07843124866485596;0.2509552836418152;0.4901040264076453;-1.4100754862106188;0.11128129322646008;0.8045773606932527;0.08934973163306262;0.7996007471214744;-0.47485268266707703;0.1583913233770034;
