i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;1.0982585662384339;3.904509579010028;3.9082427879866786;5.05077627922156;2.3847713583336456;0.45890799164772034;-0.49782922863960266;0.12692159414291382;0.6770749483521348;2.396853290133257;5.05077627922156;0.28369983073190563;-0.2676115691917771;0.09417877676008872;0.43214683472854265;-0.4884113509635938;0.009164687246084213;0.5041202902793884;0.11068664491176605;0.5042035884081879;0.018177561963698997;2.3847713583336456;0.5011883118040377;0.3441228758565116;-0.36437504058486936;0.04357697483173537;0.4676827862209015;-0.5001403093338013;-0.5007112622261047;0.15568605065345764;0.7077090483670315;-2.3567649572292084;0.32877193576646246;0.7155798267525597;0.23104711828472715;0.6772530676102889;-0.47703559750532853;-0.43298595546507584;
1;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;1.0987912584488795;3.911435724704543;3.8972731161525056;5.053925237945579;2.3948315446768658;0.45917627215385437;-0.49962565302848816;0.13603122532367706;0.6785783978828488;2.3983569102147877;5.053925237945579;0.28503835476850453;-0.2685748903282235;0.09546932478193479;0.432318783121032;-0.49007872055029467;0.013431675732135773;0.504692018032074;0.12389965355396271;0.5048707190739631;0.026607327739743992;2.3948315446768658;0.4954922030581399;0.336570673969043;-0.36363815079751066;0.04708874312904007;0.4683282029523229;-0.49745553731918335;-0.5005597472190857;0.17638739943504333;0.7057067890742956;-2.3593048632873366;0.3242825106486573;0.7176890156830276;0.22867637148300426;0.6802827650010252;-0.4745879001708829;-0.4325314707189832;
2;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;1.0955004882773547;3.920576571327767;3.887132893162327;5.051996663882923;2.405506484469464;0.45780640840530396;-0.4982949495315552;0.14988887310028076;0.6766716813238302;2.3985167439023307;5.051996663882923;0.28681878745036615;-0.2704372544360993;0.09554427375600705;0.430762682961694;-0.4887405221559545;0.018145255744457245;0.5051089525222778;0.1420486718416214;0.5054347675261215;0.03590800805051133;2.405506484469464;0.4893585128557482;0.3285516419827497;-0.36266454562698647;0.05100041994273222;0.46884249795957916;-0.49479398131370544;-0.4987182915210724;0.19600744545459747;0.7025247456438561;-2.360144405966748;0.32031269435183396;0.7196186704772415;0.22658155666910462;0.68301671215047;-0.47213582564679496;-0.4304166203060254;
3;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;1.0904955192263244;3.9300539253724223;3.8737364304157476;5.054861507061033;2.414506562000955;0.4548474848270416;-0.49930906295776367;0.16838207840919495;0.6754226638226214;2.402758588607072;5.054861507061033;0.2886815665232466;-0.2719170279972037;0.0969441939235331;0.42765578202732124;-0.48961464356541035;0.024977264925837517;0.502884566783905;0.16579356789588928;0.5035044699628906;0.04962720679990835;2.414506562000955;0.4820925007721134;0.32044468546098254;-0.36017826539162817;0.05702173347193577;0.46686674024474223;-0.4907837510108948;-0.49435704946517944;0.21142876148223877;0.6966043228492355;-2.3598216699639303;0.31470449186055105;0.7221386926832183;0.2235275538243629;0.6866729382693948;-0.46843099562845847;-0.42568975563823996;
4;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;1.0857542326101919;3.936788533332513;3.860028200259544;5.067023472644515;2.4200209788102267;0.45017704367637634;-0.5050992369651794;0.18543945252895355;0.676597819857564;2.4136247843928342;5.067023472644515;0.29001571339846155;-0.27196904282249207;0.10070726768330107;0.42298013939412715;-0.49502851019684935;0.03349759802222252;0.49751758575439453;0.19098907709121704;0.4986439984679849;0.06722801054576116;2.4200209788102267;0.4756142469212773;0.3141743396125416;-0.3570761770316204;0.06491503198347667;0.4618099680512325;-0.48546653985977173;-0.4852089285850525;0.22322095930576324;0.6863712302406577;-2.3559290963742816;0.30800619882286573;0.7246831785403653;0.21969442162504912;0.6905795177719958;-0.4634970976972668;-0.4161509768078529;
5;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;1.0681049526849822;3.957680709097592;3.846359488586992;5.056540570568465;2.4220890107511863;0.44616565108299255;-0.49854910373687744;0.20332467555999756;0.6690403553173414;2.4115867293550064;5.056540570568465;0.29421023982168476;-0.27695835250661943;0.09926598708899437;0.4184698158323306;-0.488622505027978;0.04230731725692749;0.49026161432266235;0.21092486381530762;0.4920836916335891;0.08608213127301242;2.4220890107511863;0.464710649756618;0.30624962825358537;-0.34952418112593997;0.07293228008228603;0.4553091962100684;-0.4800838530063629;-0.4748784899711609;0.2314745932817459;0.6752703800365636;-2.350743687319582;0.30119085478498864;0.7271862694013067;0.21572537988476984;0.6944511724227712;-0.45851131501788595;-0.4054333727288838;
6;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;1.0489943464171891;3.980630369460939;3.831501102078879;5.049851705247014;2.422734950917405;0.44133439660072327;-0.4940352737903595;0.21867190301418304;0.6624552070684024;2.412477283313483;5.049851705247014;0.2989159923772914;-0.28205646636926934;0.09896928957096816;0.41312874996379634;-0.4841383448332627;0.05302499234676361;0.48044148087501526;0.23069460690021515;0.48335873464617557;0.10992234559483544;2.422734950917405;0.45287795614953746;0.298231662715338;-0.3408171335485164;0.08284815861829742;0.4463597675201636;-0.4744016230106354;-0.46090179681777954;0.23995935916900635;0.6614282774609676;-2.3417618595058722;0.29441148671029893;0.7298690799495153;0.21179100764338812;0.6984650620809535;-0.45322252224629656;-0.3910552906096842;
7;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;1.0459915753197009;3.983294274793802;3.825211043193365;5.067525089298183;2.422444534034662;0.4364912807941437;-0.5025656819343567;0.22452107071876526;0.6656552432509316;2.426441221048099;5.067525089298183;0.29946893320332507;-0.2807818232084178;0.10413073374222599;0.40841309847330187;-0.4921526085601341;0.060231924057006836;0.47340935468673706;0.23943863809108734;0.47722562984454414;0.12655018866231446;2.422444534034662;0.4500935357704003;0.29649640901251645;-0.33863560117770125;0.08988156495825848;0.4395457945689669;-0.4697861671447754;-0.4470705986022949;0.24775992333889008;0.6485145819294992;-2.3314240753239073;0.2891883913508866;0.7309929501632715;0.2084604847340597;0.700638936609181;-0.4489401186713694;-0.37700670494137684;
8;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;1.0346214429185594;3.9924431073827256;3.8221228902986666;5.067039041426808;2.421543551114806;0.4307025671005249;-0.501125156879425;0.23530060052871704;0.6607806929416223;2.4316257870975226;5.067039041426808;0.30137864023901684;-0.28262326483664724;0.10465741715422328;0.4024402406168602;-0.49065941516400274;0.06625740230083466;0.46718329191207886;0.24566692113876343;0.47185831729605165;0.14088358730066208;2.421543551114806;0.44630068821107866;0.29430030796481016;-0.33551696384758306;0.09568743309731567;0.43363159552732056;-0.4657680094242096;-0.4333709180355072;0.25517889857292175;0.636199804465491;-2.3201788295802577;0.2847643265190192;0.7315421596849789;0.20551307287075413;0.7020814114301727;-0.44521670213713416;-0.36316277689248994;
9;0.3;0.05;0;0;5.0;0.3;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;1.0158152620549874;4.015423621272764;3.810756934484046;5.04689476260836;2.42142588454043;0.4284755289554596;-0.4901258647441864;0.24678558111190796;0.6510104777996261;2.4232072597693257;5.04689476260836;0.3062491052055718;-0.28927453739546305;0.1005423117590512;0.3995480752159133;-0.4800716335682813;0.0722728744149208;0.4611891806125641;0.2533174157142639;0.4668177681818497;0.15544557386250388;2.42142588454043;0.4357400123025635;0.28737491326060105;-0.32754391697893;0.1010103657409809;0.42843478891467107;-0.46250563859939575;-0.42758575081825256;0.2581997811794281;0.6298738286665383;-2.316982798833036;0.27957642067109645;0.7335490733933918;0.2024217962371079;0.7050671311899644;-0.442263458975685;-0.3570790376992561;
